序列,名字,投票人数,类型,产地,上映时间,时长,年代,评分,首映地点
0,肖申克的救赎,692795,剧情,美国,1994/9/10 0:00,142,1994,9.6,多伦多电影节
1,控方证人,42995,剧情,美国,1957/12/17 0:00,116,1957,9.5,美国
2,美丽人生 ,327855,剧情,意大利,1997/12/20 0:00,116,1997,9.5,意大利
3,阿甘正传,580897,剧情,美国,1994/6/23 0:00,142,1994,9.4,洛杉矶首映
4,霸王别姬,478523,剧情,中国,1993/1/1 0:00,171,1993,9.4,香港
5,泰坦尼克号 ,157074,剧情,美国,2012/4/10 0:00,194,2012,9.4,中国
6,辛德勒的名单,306904,剧情,美国,1993/11/30 0:00,195,1993,9.4,华盛顿首映
7,新世纪福音战士剧场版：Air/真心为你 新世oエヴァンゲリオン霭 Ai,24355,剧情,日本,1997/7/19 0:00,87,1997,9.4,日本
8,银魂完结篇：直到永远的万事屋 霭 y魂 完Y篇 万事屋よ,21513,剧情,日本,2013/7/6 0:00,110,2013,9.4,日本
9,这个杀手不太冷 ,662552,剧情,法国,1994/9/14 0:00,133,1994,9.4,法国
10,灿烂人生 ,16807,剧情,意大利,2003/6/22 0:00,366,2003,9.3,美国
11,疯狂动物城,284652,喜剧,美国,2016/3/4 0:00,109,2016,9.3,中国/美国
